,Symbol,Name,LastSale,Sector,industry
0,DDD,3D Systems Corporation,8.24,Technology,Computer Software: Prepackaged Software
1,MMM,3M Company,164.71,Health Care,Medical/Dental Instruments
2,WBAI,500.com Limited,9.88,Consumer Services,Services-Misc. Amusement & Recreation
3,WUBA,58.com Inc.,51.33,Technology,"Computer Software: Programming, Data Processing"
4,EGHT,8x8 Inc,23.32,Technology,EDP Services
5,AHC,A.H. Belo Corporation,3.45,Consumer Services,Newspapers/Magazines
6,AOS,A.O Smith Corporation,43.65,Consumer Durables,Consumer Electronics/Appliances
7,ATEN,"A10 Networks, Inc.",7.09,Technology,Computer Communications Equipment
8,AAC,"AAC Holdings, Inc.",0.75,Health Care,Medical Specialities
9,AIR,AAR Corp.,39.46,Capital Goods,Aerospace
10,AAN,"Aaron&#39;s,  Inc.",61.56,Technology,Diversified Commercial Services
11,ABB,ABB Ltd,18.05,Consumer Durables,Electrical Products
12,ABT,Abbott Laboratories,83.16,Health Care,Major Pharmaceuticals
13,ABBV,AbbVie Inc.,65.23,Health Care,Major Pharmaceuticals
14,ANF,Abercrombie & Fitch Company,16.81,Consumer Services,Clothing/Shoe/Accessory Stores
20,ABM,ABM Industries Incorporated,39.5,Finance,Diversified Commercial Services
21,AKR,Acadia Realty Trust,26.97,Consumer Services,Real Estate Investment Trusts
22,ACN,Accenture plc,185.55,Miscellaneous,Business Services
23,ACCO,Acco Brands Corporation,9.54,Consumer Durables,Publishing
24,ATV,"Acorn International, Inc.",17.838,Consumer Services,Other Specialty Stores
25,ATU,Actuant Corporation,20.89,Technology,Industrial Machinery/Components
26,AYI,"Acuity Brands, Inc. ",127.56,Consumer Durables,Building Products
27,GOLF,Acushnet Holdings Corp.,24.72,Consumer Non-Durables,Recreational Products/Toys
30,AGRO,Adecoagro S.A.,6.68,Consumer Non-Durables,Farming/Seeds/Milling
31,ADNT,Adient plc,19.3,Capital Goods,Auto Parts:O.E.M.
32,ADT,ADT Inc.,5.61,Consumer Services,Diversified Commercial Services
33,ATGE,Adtalem Global Education Inc.,44.42,Consumer Services,Other Consumer Services
34,AAP,Advance Auto Parts Inc,143.16,Consumer Services,Other Specialty Stores
35,ADSW,"Advanced Disposal Services, Inc.",32.41,Public Utilities,Environmental Services
36,WMS,"Advanced Drainage Systems, Inc.",33.31,Capital Goods,Containers/Packaging
37,ASIX,AdvanSix Inc.,23.23,Basic Industries,Major Chemicals
39,ACM,AECOM,33.44,Consumer Services,Military/Government/Technical
40,AEB,Aegon NV,23.75,Finance,Life Insurance
41,AEG,Aegon NV,4.37,Finance,Life Insurance
42,AEH,Aegon NV,26.12,Finance,Life Insurance
43,AER,Aercap Holdings N.V.,51.75,Technology,Diversified Commercial Services
44,HIVE,"Aerohive Networks, Inc.",4.45,Technology,EDP Services
45,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",48.32,Capital Goods,Military/Government/Technical
46,AMG,"Affiliated Managers Group, Inc.",78.99,Finance,Investment Managers
47,MGR,"Affiliated Managers Group, Inc.",25.9,Finance,Investment Managers
48,AFL,Aflac Incorporated,51.36,Finance,Accident &Health Insurance
52,AGCO,AGCO Corporation,69.87,Capital Goods,Industrial Machinery/Components
53,A,"Agilent Technologies, Inc.",65.86,Capital Goods,Biotechnology: Laboratory Analytical Instruments
54,AEM,Agnico Eagle Mines Limited,56.24,Basic Industries,Precious Metals
55,ADC,Agree Realty Corporation,67.29,Consumer Services,Real Estate Investment Trusts
56,AL,Air Lease Corporation,38.36,Technology,Diversified Commercial Services
58,APD,"Air Products and Chemicals, Inc.",220.06,Basic Industries,Major Chemicals
59,AYR,Aircastle Limited,19.5,Technology,Diversified Commercial Services
60,AKS,AK Steel Holding Corporation,2.68,Basic Industries,Steel/Iron Ore
62,ALG,"Alamo Group, Inc.",107.33,Capital Goods,Industrial Machinery/Components
63,AGI,Alamos Gold Inc.,7.64,Basic Industries,Precious Metals
64,ALK,"Alaska Air Group, Inc.",61.52,Transportation,Air Freight/Delivery Services
65,AIN,Albany International Corporation,81.47,Basic Industries,Textiles
66,ALB,Albemarle Corporation,65.41,Basic Industries,Major Chemicals
67,AA,Alcoa Corporation,20.15,Basic Industries,Aluminum
68,ALC,Alcon Inc.,58.2,Health Care,Ophthalmic Goods
69,ALEX,"Alexander & Baldwin, Inc.",22.91,Consumer Services,Real Estate Investment Trusts
70,ALX,"Alexander&#39;s, Inc.",354.35,Consumer Services,Real Estate Investment Trusts
71,ARE,"Alexandria Real Estate Equities, Inc.",142.67,Consumer Services,Real Estate Investment Trusts
73,AQN,Algonquin Power & Utilities Corp.,12.61,Public Utilities,Electric Utilities: Central
74,AQNA,Algonquin Power & Utilities Corp.,27.69,Public Utilities,Electric Utilities: Central
75,AQNB,Algonquin Power & Utilities Corp.,26.54,Public Utilities,Electric Utilities: Central
76,BABA,Alibaba Group Holding Limited,153.67,Miscellaneous,Business Services
77,Y,Alleghany Corporation,675.02,Finance,Property-Casualty Insurers
78,ATI,Allegheny Technologies Incorporated,19.58,Basic Industries,Steel/Iron Ore
79,ALLE,Allegion plc,99.68,Consumer Services,Diversified Commercial Services
80,AGN,Allergan plc.,160.63,Health Care,Major Pharmaceuticals
81,ALE,"Allete, Inc.",85.0,Public Utilities,Power Generation
82,ADS,Alliance Data Systems Corporation,152.13,Miscellaneous,Business Services
85,AB,AllianceBernstein Holding L.P.,27.03,Finance,Investment Managers
93,NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.05,Finance,Finance: Consumer Services
94,ALSN,"Allison Transmission Holdings, Inc.",43.79,Capital Goods,Auto Parts:O.E.M.
95,ALL,Allstate Corporation (The),101.78,Finance,Property-Casualty Insurers
102,ALLY,Ally Financial Inc.,30.76,Finance,Major Banks
104,AYX,"Alteryx, Inc.",125.65,Technology,Computer Software: Prepackaged Software
105,ATUS,"Altice USA, Inc.",26.23,Consumer Services,Television Services
106,MO,Altria Group,46.65,Consumer Non-Durables,Farming/Seeds/Milling
107,ACH,Aluminum Corporation of China Limited,7.31,Basic Industries,Aluminum
108,ABEV,Ambev S.A.,5.09,Consumer Non-Durables,Beverages (Production/Distribution)
109,AMC,"AMC Entertainment Holdings, Inc.",11.1,Consumer Services,Movies/Entertainment
110,AMCR,Amcor plc,10.3,Consumer Durables,Miscellaneous manufacturing industries
111,AEE,Ameren Corporation,75.05,Public Utilities,Power Generation
112,AMRC,"Ameresco, Inc.",13.46,Basic Industries,Engineering & Construction
113,AMOV,"America Movil, S.A.B. de C.V.",13.04,Public Utilities,Telecommunications Equipment
114,AMX,"America Movil, S.A.B. de C.V.",13.32,Public Utilities,Telecommunications Equipment
115,AAT,"American Assets Trust, Inc.",45.58,Consumer Services,Real Estate Investment Trusts
116,AXL,"American Axle & Manufacturing Holdings, Inc.",8.55,Capital Goods,Auto Parts:O.E.M.
117,ACC,American Campus Communities Inc,46.0,Consumer Services,Real Estate Investment Trusts
118,AEO,"American Eagle Outfitters, Inc.",15.85,Consumer Services,Clothing/Shoe/Accessory Stores
119,AEP,"American Electric Power Company, Inc.",88.02,Public Utilities,Electric Utilities: Central
121,AEL,American Equity Investment Life Holding Company,22.3,Finance,Life Insurance
122,AXP,American Express Company,120.72,Finance,Finance: Consumer Services
123,AFG,"American Financial Group, Inc.",97.88,Finance,Property-Casualty Insurers
124,AFGB,"American Financial Group, Inc.",26.95,Finance,Property-Casualty Insurers
125,AFGE,"American Financial Group, Inc.",25.81,Finance,Property-Casualty Insurers
126,AFGH,"American Financial Group, Inc.",26.0,Finance,Property-Casualty Insurers
127,AMH,American Homes 4 Rent,23.99,Consumer Services,Real Estate Investment Trusts
133,AIG,"American International Group, Inc.",52.81,Finance,Property-Casualty Insurers
136,ARL,"American Realty Investors, Inc.",14.97,Finance,Real Estate
137,ARA,"American Renal Associates Holdings, Inc",6.99,Health Care,Hospital/Nursing Management
138,AWR,American States Water Company,76.58,Public Utilities,Water Supply
139,AMT,American Tower Corporation (REIT),213.9,Consumer Services,Real Estate Investment Trusts
